id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,masterCategoryEncoded,subCategoryEncoded,articleTypeEncoded,imagePath
18653,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,2011.0,Casual,Fila Men Cush Flex Black Slippers,1,3,16,/content/drive/MyDrive/ML Project Team/dataset/images/18653.jpg
12967,Men,Footwear,Sandal,Sandals,Black,Fall,2011.0,Casual,ADIDAS Men Spry M Black Sandals,1,6,42,/content/drive/MyDrive/ML Project Team/dataset/images/12967.jpg
2886,Women,Footwear,Shoes,Flats,Brown,Winter,2015.0,Casual,Catwalk Women Leather Brown Flats,1,8,15,/content/drive/MyDrive/ML Project Team/dataset/images/2886.jpg
18005,Men,Apparel,Bottomwear,Shorts,Black,Summer,2011.0,Sports,Puma Men Long Logo Black Bermuda,0,1,46,/content/drive/MyDrive/ML Project Team/dataset/images/18005.jpg
17871,Men,Apparel,Innerwear,Briefs,Maroon,Winter,2016.0,Casual,Levis Men Boxer Maroon Brief,0,4,7,/content/drive/MyDrive/ML Project Team/dataset/images/17871.jpg
10268,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2012.0,Formal,Clarks Men Hang Work Leather Black Formal Shoes,1,8,17,/content/drive/MyDrive/ML Project Team/dataset/images/10268.jpg
22198,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2012.0,Casual,Timberland Men Black Casual Shoes,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/22198.jpg
26538,Men,Footwear,Shoes,Casual Shoes,Red,Fall,2012.0,Casual,ID Men Red Shoes,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/26538.jpg
2872,Women,Footwear,Shoes,Heels,Brown,Winter,2015.0,Casual,Catwalk Women Leather Flats,1,8,18,/content/drive/MyDrive/ML Project Team/dataset/images/2872.jpg
19123,Men,Footwear,Flip Flops,Flip Flops,Silver,Fall,2011.0,Casual,Lotto Men XL Water Man Silver Slippers,1,3,16,/content/drive/MyDrive/ML Project Team/dataset/images/19123.jpg
17885,Men,Apparel,Innerwear,Innerwear Vests,Grey,Summer,2016.0,Casual,Levis Men Comfort Style Grey Innerwear Vest,0,4,19,/content/drive/MyDrive/ML Project Team/dataset/images/17885.jpg
25349,Men,Apparel,Innerwear,Briefs,Red,Summer,2016.0,Casual,Levis Men Red Brief,0,4,7,/content/drive/MyDrive/ML Project Team/dataset/images/25349.jpg
11940,Men,Footwear,Sandal,Sandals,Black,Summer,2011.0,Casual,Ganuchi Men Casual Black Sandals,1,6,42,/content/drive/MyDrive/ML Project Team/dataset/images/11940.jpg
19311,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011.0,Casual,Nike Men Air Rift MTR White Casual Shoe,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/19311.jpg
11518,Women,Footwear,Shoes,Heels,Grey,Winter,2015.0,Casual,Catwalk Women Gun Metal Grey Heels,1,8,18,/content/drive/MyDrive/ML Project Team/dataset/images/11518.jpg
28032,Men,Apparel,Innerwear,Briefs,White,Summer,2016.0,Casual,Jockey ELANCE Men Bikini White Brief 1005,0,4,7,/content/drive/MyDrive/ML Project Team/dataset/images/28032.jpg
26994,Women,Apparel,Bottomwear,Jeans,Black,Summer,2012.0,Casual,Jealous 21 Women Black Jeans,0,1,21,/content/drive/MyDrive/ML Project Team/dataset/images/26994.jpg
2618,Women,Footwear,Shoes,Flats,Silver,Spring,2010.0,Casual,Carlton London Women Silver Wedge Sandal,1,8,15,/content/drive/MyDrive/ML Project Team/dataset/images/2618.jpg
18495,Men,Footwear,Sandal,Sandals,White,Fall,2011.0,Casual,Puma Men Fashion Cat White Slipper,1,6,42,/content/drive/MyDrive/ML Project Team/dataset/images/18495.jpg
23849,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011.0,Casual,ADIDAS Men Black Anzo Breeze Casual Shoes,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/23849.jpg
24250,Men,Footwear,Shoes,Casual Shoes,White,Fall,2012.0,Casual,Numero Uno Men White Casual Shoes,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/24250.jpg
25382,Men,Apparel,Innerwear,Innerwear Vests,White,Summer,2016.0,Casual,Levis Men White Innerwear Vest,0,4,19,/content/drive/MyDrive/ML Project Team/dataset/images/25382.jpg
15517,Men,Footwear,Shoes,Casual Shoes,Red,Fall,2011.0,Casual,Rockport Men LLandro Red Casual Shoes,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/15517.jpg
23247,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2011.0,Formal,Arrow Men Formal Black Shoe,1,8,17,/content/drive/MyDrive/ML Project Team/dataset/images/23247.jpg
10633,Men,Footwear,Shoes,Formal Shoes,Brown,Fall,2011.0,Formal,Carlton London Men Formal Brown Formal Shoes,1,8,17,/content/drive/MyDrive/ML Project Team/dataset/images/10633.jpg
15341,Women,Apparel,Bottomwear,Shorts,Pink,Fall,2011.0,Sports,Nike Women Solid Pink Shorts,0,1,46,/content/drive/MyDrive/ML Project Team/dataset/images/15341.jpg
13284,Men,Apparel,Bottomwear,Shorts,Black,Fall,2011.0,Casual,Gini and Jony Kids Boys Solid Black Shorts,0,1,46,/content/drive/MyDrive/ML Project Team/dataset/images/13284.jpg
21180,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2011.0,Casual,ADIDAS Men Adi Cells Black Flip Flops,1,3,16,/content/drive/MyDrive/ML Project Team/dataset/images/21180.jpg
22705,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011.0,Casual,Nike Men White Capri II Casual Shoe,1,8,10,/content/drive/MyDrive/ML Project Team/dataset/images/22705.jpg
